Customer_ID,Age_Group,Region,Preferred_Category,Total_Purchases,Total_Spent,Last_Purchase_Date,Loyalty_Score
CUST0001,18-25,East,Footwear,22,1954.49,2023-04-25,6.6
CUST0002,18-25,West,Electronics,1,210.07,2023-04-09,1.7
CUST0003,18-25,West,Electronics,44,29164.6,2024-05-14,9.9
CUST0004,46+,South,Electronics,30,10119.07,2022-07-29,7.6
CUST0005,36-45,North,Footwear,39,5961.03,2022-09-30,8.0
CUST0006,18-25,South,Electronics,79,42463.7,2023-03-13,5.0
CUST0007,46+,South,Accessories,28,3220.45,2022-09-10,1.9
CUST0008,36-45,West,Accessories,41,26375.61,2022-06-22,3.2
CUST0009,36-45,South,Electronics,39,7959.29,2023-01-22,6.5
CUST0010,36-45,West,Electronics,31,13056.14,2024-10-20,2.0
CUST0011,18-25,North,Footwear,41,6108.47,2024-05-11,8.7
CUST0012,26-35,East,Accessories,10,625.17,2023-06-21,1.6
CUST0013,18-25,South,Electronics,51,21927.86,2024-10-23,6.7
CUST0014,46+,West,Accessories,11,5834.43,2022-11-09,5.8
CUST0015,18-25,East,Footwear,11,4768.26,2022-11-15,2.8
CUST0016,46+,East,Electronics,40,22960.28,2023-05-04,7.6
CUST0017,26-35,North,Electronics,56,7671.44,2022-04-23,6.5
CUST0018,26-35,East,Electronics,2,1161.85,2022-12-02,7.3
CUST0019,36-45,West,Footwear,22,7235.85,2023-07-05,7.7
CUST0020,18-25,North,Footwear,55,13969.2,2022-06-07,1.6
CUST0021,46+,West,Footwear,8,3397.66,2024-01-24,6.1
CUST0022,36-45,South,Electronics,74,41113.68,2024-11-08,2.0
CUST0023,18-25,North,Electronics,32,2703.56,2022-11-04,4.3
CUST0024,18-25,South,Accessories,29,8449.19,2023-10-18,4.7
CUST0025,18-25,East,Footwear,16,6824.49,2023-01-03,9.1
CUST0026,18-25,South,Accessories,9,6369.69,2023-09-29,8.8
CUST0027,18-25,East,Accessories,2,653.38,2023-09-15,3.6
CUST0028,46+,South,Footwear,76,59195.89,2023-02-05,10.0
CUST0029,26-35,South,Electronics,53,3600.43,2022-01-20,5.9
CUST0030,18-25,East,Accessories,40,5118.47,2023-05-03,5.8
CUST0031,46+,West,Electronics,19,11091.05,2023-04-20,1.8
CUST0032,36-45,West,Accessories,11,5341.36,2024-03-18,5.5
CUST0033,18-25,North,Accessories,17,3868.84,2023-10-08,3.3
CUST0034,36-45,West,Footwear,58,14730.08,2023-02-20,1.7
CUST0035,18-25,South,Clothing,14,2425.94,2024-04-12,5.2
CUST0036,36-45,North,Clothing,58,16311.39,2022-09-03,3.4
CUST0037,26-35,North,Footwear,78,6259.29,2023-11-03,8.5
CUST0038,18-25,South,Clothing,46,15970.43,2023-09-05,1.4
CUST0039,26-35,East,Electronics,52,35929.45,2023-05-27,6.0
CUST0040,46+,North,Electronics,18,2539.62,2023-04-01,1.6
CUST0041,26-35,South,Accessories,48,27106.27,2022-06-22,9.4
CUST0042,18-25,East,Electronics,9,1784.81,2022-09-21,6.8
CUST0043,36-45,North,Electronics,6,4540.26,2024-06-06,1.5
CUST0044,46+,West,Electronics,49,27558.07,2023-03-16,2.6
CUST0045,36-45,South,Footwear,58,41328.94,2023-05-19,1.3
CUST0046,46+,East,Accessories,71,29058.4,2024-02-24,1.8
CUST0047,46+,South,Clothing,68,16106.54,2022-02-09,9.9
CUST0048,36-45,West,Accessories,70,44525.34,2024-10-25,4.1
CUST0049,46+,East,Footwear,24,1669.13,2022-03-02,6.4
CUST0050,18-25,East,Accessories,68,21629.08,2023-04-22,6.3
CUST0051,18-25,South,Clothing,31,7746.75,2022-04-25,8.3
CUST0052,46+,South,Footwear,23,4187.73,2024-01-05,6.3
CUST0053,36-45,North,Clothing,73,55573.18,2024-10-05,8.5
CUST0054,26-35,East,Accessories,5,588.47,2023-03-25,3.1
CUST0055,46+,North,Electronics,43,31752.15,2022-09-25,2.8
CUST0056,26-35,East,Footwear,8,531.48,2022-10-18,6.3
CUST0057,36-45,North,Electronics,48,27763.37,2022-07-26,7.0
CUST0058,36-45,East,Footwear,18,14074.12,2024-06-13,7.6
CUST0059,36-45,West,Clothing,72,41052.26,2024-01-01,9.4
CUST0060,26-35,South,Accessories,40,24019.85,2022-12-30,3.7
CUST0061,46+,North,Electronics,24,12043.0,2023-03-29,9.3
CUST0062,46+,North,Clothing,43,26187.32,2023-10-17,3.1
CUST0063,18-25,South,Footwear,58,3395.71,2022-05-19,2.9
CUST0064,36-45,East,Electronics,1,86.11,2024-05-09,4.9
CUST0065,46+,South,Accessories,49,15357.75,2024-09-08,4.4
CUST0066,26-35,South,Accessories,10,6493.96,2022-02-11,1.3
CUST0067,36-45,East,Electronics,10,3063.56,2022-11-26,9.0
CUST0068,18-25,North,Footwear,77,60749.69,2022-03-05,9.0
CUST0069,26-35,West,Accessories,21,1893.5,2023-01-25,4.0
CUST0070,36-45,West,Footwear,39,8898.29,2024-10-02,1.4
CUST0071,18-25,South,Footwear,1,370.7,2024-09-10,3.7
CUST0072,18-25,South,Electronics,27,4809.35,2022-06-17,3.6
CUST0073,18-25,West,Footwear,51,20563.63,2023-06-27,9.1
CUST0074,46+,North,Clothing,48,34277.74,2024-07-01,4.3
CUST0075,36-45,North,Accessories,60,14853.04,2022-05-07,8.5
CUST0076,18-25,South,Electronics,45,29526.08,2023-04-11,4.7
CUST0077,46+,North,Accessories,69,39005.77,2023-04-28,9.4
CUST0078,36-45,West,Electronics,51,37081.23,2024-10-25,7.4
CUST0079,18-25,South,Accessories,23,17521.31,2023-03-10,2.5
CUST0080,26-35,South,Electronics,55,5982.7,2023-02-18,7.1
CUST0081,36-45,South,Footwear,9,1037.44,2023-10-30,6.0
CUST0082,46+,East,Electronics,80,39254.57,2022-08-19,8.0
CUST0083,26-35,West,Clothing,73,35839.39,2022-07-25,7.8
