Date,Product,Category,Region,Age Group,Units Sold,Unit Price,Total Sales
2022-08-17,Laptop,Electronics,East,26-35,8,926.98,7415.84
2022-07-29,Phone,Electronics,West,18-25,1,642.2,642.2
2023-04-22,Laptop,Electronics,South,46+,8,988.85,7910.8
2023-07-24,Laptop,Electronics,South,46+,11,954.62,10500.82
2023-03-17,Sneakers,Footwear,North,18-25,13,81.82,1063.66
2023-12-06,Jeans,Clothing,North,46+,18,54.57,982.26
2024-02-15,Phone,Electronics,East,36-45,19,655.98,12463.62
2022-05-23,Laptop,Electronics,South,36-45,3,1069.99,3209.97
2022-07-26,Watch,Accessories,East,46+,12,138.95,1667.4
2023-12-29,T-Shirt,Clothing,East,18-25,20,29.78,595.6
2024-12-29,T-Shirt,Clothing,South,46+,13,27.67,359.71
2023-03-26,Sneakers,Footwear,North,26-35,2,94.43,188.86
2024-04-01,Jeans,Clothing,North,26-35,19,63.44,1205.36
2023-10-07,T-Shirt,Clothing,West,46+,15,26.93,403.95
2022-10-13,T-Shirt,Clothing,East,46+,19,28.42,539.98
2023-03-26,Headphones,Electronics,West,18-25,2,213.37,426.74
2022-11-10,Headphones,Electronics,West,18-25,13,194.29,2525.77
2024-08-16,Jeans,Clothing,North,18-25,18,61.96,1115.28
2023-11-28,Phone,Electronics,East,46+,6,692.53,4155.18
2023-06-24,Headphones,Electronics,North,36-45,17,203.34,3456.78
2022-11-10,Sneakers,Footwear,South,18-25,20,85.87,1717.4
2022-02-09,Phone,Electronics,East,36-45,8,637.2,5097.6
2022-06-11,Phone,Electronics,West,18-25,18,736.16,13250.88
2022-09-20,Backpack,Accessories,South,36-45,17,84.88,1442.96
2024-05-16,T-Shirt,Clothing,South,36-45,13,31.87,414.31
2024-02-04,Backpack,Accessories,West,18-25,8,74.65,597.2
2023-11-24,Laptop,Electronics,South,26-35,1,913.28,913.28
2022-05-01,T-Shirt,Clothing,North,18-25,11,26.51,291.61
2023-05-03,Jeans,Clothing,West,26-35,18,54.66,983.88
2024-08-26,T-Shirt,Clothing,West,46+,7,26.65,186.55
2024-06-01,Sneakers,Footwear,West,46+,15,95.48,1432.2
2022-04-21,Phone,Electronics,North,46+,11,741.02,8151.22
2022-08-12,T-Shirt,Clothing,South,26-35,18,28.7,516.6
2024-05-14,Headphones,Electronics,East,46+,8,213.9,1711.2
2022-06-04,Backpack,Accessories,North,18-25,18,84.31,1517.58
2022-07-11,T-Shirt,Clothing,South,46+,16,28.89,462.24
2024-04-01,Laptop,Electronics,South,46+,1,1095.96,1095.96
2023-06-28,Backpack,Accessories,East,46+,18,81.56,1468.08
2024-09-23,Headphones,Electronics,South,36-45,7,217.65,1523.55
2022-05-05,Sneakers,Footwear,North,18-25,19,88.59,1683.21
2024-12-23,Headphones,Electronics,North,18-25,6,181.83,1090.98
2022-05-20,T-Shirt,Clothing,West,18-25,19,27.53,523.07
2022-03-23,Phone,Electronics,West,36-45,9,657.66,5918.94
2023-10-06,T-Shirt,Clothing,East,46+,5,30.0,150.0
2023-09-07,Backpack,Accessories,East,18-25,1,78.34,78.34
2022-07-24,Phone,Electronics,South,36-45,5,759.57,3797.85
2022-05-21,T-Shirt,Clothing,East,36-45,6,28.64,171.84
2023-09-12,Laptop,Electronics,East,18-25,5,951.94,4759.7
2022-08-08,Headphones,Electronics,East,36-45,20,187.48,3749.6
2023-12-04,T-Shirt,Clothing,East,46+,9,31.35,282.15
2022-04-15,Phone,Electronics,West,36-45,2,629.6,1259.2
2022-09-25,Jeans,Clothing,South,46+,18,61.43,1105.74
2022-01-20,Phone,Electronics,North,26-35,18,634.14,11414.52
2024-01-27,Headphones,Electronics,West,26-35,2,191.37,382.74
2022-03-23,Sneakers,Footwear,South,26-35,4,86.4,345.6
2024-04-12,Headphones,Electronics,South,26-35,6,214.18,1285.08
2022-02-20,Headphones,Electronics,East,46+,8,189.72,1517.76
2022-08-10,Watch,Accessories,North,46+,8,140.05,1120.4
2024-07-31,Sneakers,Footwear,East,26-35,8,80.52,644.16
2023-01-31,Watch,Accessories,East,36-45,3,162.91,488.73
2023-07-26,Sneakers,Footwear,West,36-45,1,82.15,82.15
2023-06-19,Headphones,Electronics,East,18-25,4,202.84,811.36
2023-12-09,Sneakers,Footwear,West,18-25,13,96.11,1249.43
2023-01-25,Jeans,Clothing,North,46+,1,59.24,59.24
2023-02-08,Sneakers,Footwear,West,18-25,11,91.19,1003.09
2022-09-13,Jeans,Clothing,East,46+,11,57.85,636.35
2023-08-29,Headphones,Electronics,South,46+,13,206.06,2678.78
2022-12-23,Jeans,Clothing,West,18-25,10,56.49,564.9
2024-05-30,Sneakers,Footwear,West,46+,15,92.13,1381.95
2024-11-12,Backpack,Accessories,South,18-25,10,79.24,792.4
2023-11-18,Phone,Electronics,South,36-45,8,741.86,5934.88
2022-10-29,Laptop,Electronics,North,26-35,16,1021.23,16339.68
2022-05-30,Backpack,Accessories,West,26-35,13,78.91,1025.83
2023-05-15,Headphones,Electronics,North,18-25,14,187.81,2629.34
2024-11-26,Backpack,Accessories,North,26-35,4,78.31,313.24
2024-08-09,Sneakers,Footwear,West,46+,18,88.04,1584.72
2022-11-22,Backpack,Accessories,West,36-45,8,84.37,674.96
2023-07-22,Backpack,Accessories,South,36-45,15,72.32,1084.8
2023-08-09,T-Shirt,Clothing,East,36-45,11,31.28,344.08
2022-06-15,Headphones,Electronics,South,26-35,13,206.72,2687.36
2023-03-15,Phone,Electronics,West,46+,11,704.96,7754.56
2024-05-01,Laptop,Electronics,South,46+,13,1079.89,14038.57
2022-02-10,Watch,Accessories,West,18-25,12,143.0,1716.0
2024-03-09,Watch,Accessories,South,46+,8,142.23,1137.84
2024-09-21,Laptop,Electronics,West,36-45,13,1043.79,13569.27
2024-08-15,Headphones,Electronics,North,46+,19,201.56,3829.64
2022-02-25,Phone,Electronics,West,26-35,15,654.51,9817.65
2023-06-17,Watch,Accessories,East,26-35,15,143.84,2157.6
2024-02-16,Jeans,Clothing,West,36-45,3,58.65,175.95
2022-04-17,Sneakers,Footwear,South,18-25,2,93.53,187.06
2023-05-22,T-Shirt,Clothing,North,26-35,8,26.83,214.64
2022-08-23,T-Shirt,Clothing,West,36-45,12,27.07,324.84
2022-08-23,Headphones,Electronics,East,18-25,19,180.12,3422.28
2023-10-01,Watch,Accessories,West,26-35,3,151.74,455.22
2023-05-13,Phone,Electronics,East,18-25,19,738.51,14031.69
2023-12-13,Watch,Accessories,East,18-25,17,153.4,2607.8
2022-01-26,Watch,Accessories,West,18-25,14,162.73,2278.22
2024-07-30,Headphones,Electronics,West,26-35,17,217.53,3698.01
2023-07-08,Backpack,Accessories,West,46+,19,75.34,1431.46
2023-05-18,Phone,Electronics,East,46+,8,734.02,5872.16
2024-02-16,Sneakers,Footwear,North,46+,11,83.34,916.74
2023-03-11,Sneakers,Footwear,East,36-45,9,95.77,861.93
2023-07-20,Laptop,Electronics,South,18-25,8,1042.97,8343.76
2024-09-27,T-Shirt,Clothing,West,46+,15,30.7,460.5
2022-07-10,Jeans,Clothing,South,46+,8,56.71,453.68
2024-01-26,Backpack,Accessories,East,46+,18,76.33,1373.94
2024-07-18,Jeans,Clothing,East,36-45,8,54.52,436.16
2023-01-30,Sneakers,Footwear,North,26-35,7,83.95,587.65
2024-09-18,Jeans,Clothing,East,18-25,7,56.6,396.2
2024-01-10,Headphones,Electronics,East,18-25,18,184.14,3314.52
2022-04-04,Laptop,Electronics,East,26-35,16,919.6,14713.6
2022-01-26,Jeans,Clothing,West,46+,15,57.12,856.8
2022-04-16,Jeans,Clothing,West,18-25,3,57.83,173.49
2022-06-01,Laptop,Electronics,South,26-35,19,1088.74,20686.06
2022-06-24,T-Shirt,Clothing,North,46+,20,29.56,591.2
2023-04-08,Watch,Accessories,West,46+,10,159.73,1597.3
2024-05-28,Jeans,Clothing,North,18-25,7,60.48,423.36
2023-06-26,Phone,Electronics,South,26-35,6,706.27,4237.62
2022-11-17,Laptop,Electronics,West,46+,20,992.99,19859.8
2022-03-08,T-Shirt,Clothing,East,36-45,15,26.51,397.65
2023-04-24,Jeans,Clothing,South,46+,4,59.53,238.12
2022-11-02,Jeans,Clothing,South,18-25,2,55.06,110.12
2023-09-22,Jeans,Clothing,West,18-25,15,61.23,918.45
2024-04-04,Jeans,Clothing,West,46+,3,60.16,180.48
2024-06-03,Sneakers,Footwear,East,18-25,3,84.17,252.51
2022-02-12,Jeans,Clothing,North,26-35,16,59.22,947.52
2024-06-24,Jeans,Clothing,South,46+,16,64.53,1032.48
2024-08-20,Sneakers,Footwear,West,36-45,11,92.03,1012.33
2022-11-26,Sneakers,Footwear,West,46+,10,91.89,918.9
2024-03-31,Laptop,Electronics,West,18-25,11,949.53,10444.83
2022-08-26,Watch,Accessories,North,46+,14,135.72,1900.08
2024-11-27,Sneakers,Footwear,West,46+,2,83.72,167.44
2022-09-26,Jeans,Clothing,West,46+,4,53.44,213.76
2023-05-06,Headphones,Electronics,East,18-25,18,195.34,3516.12
2023-04-06,Phone,Electronics,West,18-25,5,698.77,3493.85
2023-08-21,Jeans,Clothing,West,46+,16,55.98,895.68
2022-10-24,Watch,Accessories,South,26-35,3,142.33,426.99
2024-04-29,Sneakers,Footwear,East,18-25,10,93.02,930.2
2024-09-29,Headphones,Electronics,West,46+,12,192.33,2307.96
